k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.00) G1(z=2.00) G1(z=3.00) 
0.0125664 1.24035009664 1.23833863081 1.23780466289 1.23808225164 1.23805995128 
0.0193692 1.2317742341 1.23246393777 1.23358381038 1.23538364419 1.23633459511 
0.0289616 1.22193703289 1.22560079052 1.22869326426 1.23255954095 1.23436369263 
0.039385 1.23103185653 1.23317992935 1.23510825166 1.23735240292 1.23812627971 
0.0503594 1.2117619942 1.21879906002 1.22427043105 1.23042073272 1.2331507189 
0.0608263 1.21738056562 1.22516523903 1.23056784481 1.23577653874 1.23760139353 
0.0703551 1.2168270395 1.22377692941 1.22885629807 1.23403471866 1.23599561755 
0.0803445 1.22593527272 1.22922121882 1.2324116418 1.23592745253 1.23716440268 
0.090573 1.25177664243 1.2467662315 1.24431014974 1.24195277483 1.24059225281 
0.100644 1.27693780073 1.26564695532 1.25899892022 1.25174304906 1.24769356413 
0.11023 1.26005637489 1.2500883523 1.24593117969 1.24240986219 1.24061999953 
0.119724 1.26193089224 1.25720271859 1.25438792038 1.24994669029 1.24665385625 
0.129804 1.25905315777 1.25421632676 1.2520228637 1.24853833315 1.24572780385 
0.140162 1.29223191706 1.28009958543 1.27211419402 1.26121069497 1.25429667508 
0.150266 1.33883245518 1.31558481084 1.29634852738 1.27228438136 1.25990813465 
0.160095 1.36858237007 1.33472014567 1.30762456301 1.27639893307 1.26134541117 
0.169444 1.35900515671 1.3261690639 1.303135228 1.27676362732 1.26305994806 
0.17946 1.3667164525 1.33117377593 1.30673724997 1.27873158532 1.26424721573 
0.189654 1.37516288995 1.33878479124 1.31198004251 1.2816661112 1.26627025143 
0.200051 1.39674407735 1.35283439852 1.3232366301 1.28881756828 1.27072719297 
0.210041 1.41463221177 1.37711584437 1.34719872602 1.30542604936 1.28164752845 
0.219554 1.45881526221 1.4112733524 1.36963171803 1.31736836301 1.28960132094 
0.229778 1.46046239569 1.40757526015 1.36798913547 1.31902791101 1.29163611654 
0.240106 1.48027181103 1.41884110856 1.37292877001 1.31733621297 1.28824611611 
0.250215 1.471278978 1.41808807234 1.37610512742 1.32267207177 1.29350745447 
0.259904 1.50182286148 1.43826948053 1.38968477795 1.33100580732 1.2987948412 
0.269778 1.51546248875 1.4603169149 1.41420060619 1.34913554817 1.31069888477 
0.280022 1.544309621 1.48461590612 1.43085512393 1.36039346008 1.31883410372 
0.290222 1.54079380713 1.47635921096 1.42996717764 1.36500217637 1.3234862986 
0.300311 1.56303626027 1.49953972991 1.44374864171 1.36723554199 1.32348161677 
0.310061 1.5709244697 1.49691803093 1.43935149533 1.3670002349 1.32507277811 
0.319908 1.58042852167 1.51194551393 1.45473530131 1.38018665804 1.33523593571 
0.33016 1.58566112373 1.52313333467 1.47412651065 1.39627947844 1.34423763536 
0.340074 1.62250865172 1.54701208233 1.4847881808 1.40232489693 1.35118843967 
0.350039 1.61800584282 1.55495825189 1.50076385957 1.41282083282 1.35575304115 
0.359957 1.62347109804 1.56252934886 1.51282101181 1.42273014867 1.36069711067 
0.369889 1.64044730105 1.57878951678 1.51962252129 1.42427105984 1.36354559232 
0.380062 1.66032064149 1.58966336078 1.52925562529 1.43102885312 1.36855655399 
0.39012 1.66034237391 1.59759069366 1.54247512612 1.44251981579 1.37406534692 
0.40008 1.67240346779 1.60363874612 1.55115643939 1.4546188942 1.38436886155 
0.409961 1.67162575833 1.63276904092 1.57405330834 1.46185313437 1.38880168041 
0.419893 1.69177089987 1.63121833863 1.57470724536 1.47433504743 1.39766711477 
0.430068 1.69830616338 1.65833294164 1.58894747723 1.47561683229 1.40103296109 
0.440262 1.69898461607 1.66110142766 1.60524730804 1.48524732302 1.40371702849 
0.450176 1.72122917557 1.66785671661 1.60957373978 1.49323723175 1.41243832535 
0.459999 1.72959499401 1.67628459918 1.61201524451 1.49963812644 1.41656211786 
0.470028 1.73636512891 1.6862272998 1.62526059998 1.50806322129 1.42559211097 
0.480032 1.75022663478 1.69818837621 1.63385813265 1.51125417563 1.42667009996 
0.490024 1.74562123515 1.69744703676 1.64074219326 1.52476524398 1.43767974989 
0.500102 1.73671500729 1.70746992274 1.66150539148 1.53641546647 1.44260853568 
0.509969 1.76112584056 1.73072809443 1.66253980842 1.54062591851 1.44785857185 
0.51993 1.76083357511 1.72056350229 1.67450028694 1.55926464268 1.459877432 
0.530046 1.76909355597 1.7413095171 1.68849834907 1.56030296799 1.45870476645 
0.539975 1.77482771446 1.74784672375 1.69703995463 1.56453130264 1.46536648749 
0.550027 1.78480123331 1.75402890158 1.70833063529 1.57768071258 1.47228359702 
0.56014 1.7764791365 1.76941306432 1.71157358345 1.5805522638 1.47784586221 
0.570079 1.78030201346 1.77529165248 1.7261118354 1.58555147986 1.48064267032 
0.580051 1.79844077111 1.77165225059 1.72415569948 1.59655903547 1.48872115111 
0.589901 1.79366335628 1.79005788029 1.73759368816 1.60849916293 1.4952128601 
0.599904 1.80009306479 1.79396986198 1.74667437958 1.60785259284 1.49681717018 
